Tweet,Affect Dimension
#Success awaits on the other side of your #fear &amp; that's only in your#head-JesusChristEmpowersRightThinking-ASK #fitness #weightlifting,2
Didn't concede yet but having a nightmare at the back #MUFC,2
My roommate talks and laughs in her sleep. It never fails to scare the shit out of me. 🙅🏽😳,2
"Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. -  Noam Chomsky",2
@ChrissyCostanza and have social anxiety. There is many awkward things wrong with me. 😄,2
@sethwieck you should do a TED Talk on 'bubledygook'! I'm sure you could convince the masses to distrust those decrying TED Talks!,2
@MobilePunch  alarming,2
Saga: When all of your devices and teles fail just in time for bake off  #gbbo,2
@fatgirlhealthy @MBSCBILL ....so that what do to use violence and intimidation for a polictical agenda.; aka terrorism?,2
@jk_rowling @Riverfeather207 Donald Trump in the White House ,2
@FaithHill I remember it well #happy  #Positive,2
I always dread Wednesday's and the always end up making me the happiest,2
"However the agent was inauthentic, my sister still loves me, &amp; I'm still alive. So I guess it wasn't that bad. #socialanxiety #anxiety",2
"Sir, my concern is not whether God is on our side; my greatest concern is to be on God's side, for God is always right.' - Abraham Lincoln",2
It appears my fire alarm disapproves of my cooking style,2
Hahahah what a horrific penalty from bayer. 5 feet wide. Jesus,2
We're very busy #coding a whole network manager for #unity3d based on #steamworks networking. #gamedev #indiedev #3amDeadTime #horror #game,2
White Americans are worried about Arab terrorists. Black Americans are fearful of a terrorist in a Police uniform on a daily basis.,2
@yellowsuburbia really?? after so long that's shocking tbh,2
"@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain,  #iamkratom",2
@BBCPolitics @BBCNews I'd rather leave my child with @BorisJohnson #shudder,2
The majority of my clients have family/ partner/ day job/ life AND write their beautiful books.  #gratitude #HARDwork,2
Tremor!!!\n ,2
A Lysol can got stuck in spray position and we're all slowly suffocating from the trash can that smells like a Febreeze factory. #panic,2
@TweetinderKaul @rupasubramanya @chandanwriter @TheQuint @ShivAroor future convicts rush in where TRP hogs fear to tread #HomilyHour,2
Overtime... #TeamNA #WCH2016 ,2
"Are you worrying/worried?\n1Peter 5:7\nThrow all your worry on him, because he cares for you. #faith #leadership  #mindfulness #success",2
dread pitt,2
"Bloody hell Pam, calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet, #perilsoflivingalone ",2
I am going to make it my life's mission to discourage anyone from using @CapitalOne. They will rob you blind,2
We're all in D. T. (Discipleship training or detox) for something. #messy #fearful #cutoff #choosefreedom #CryOut16,2
Hey @gmail why can I only see 15 sent emails? Where's the thousands gone? ,2
@aidankerrpol I think you should do. Get the fashion police involved. #shocking,2
Wishing i was rich so i didnt have to get up this morning #poor #sleepy #restless #sad #needsmoresleep,2
"Came in to work today 1.5 hours late.1st thing I hear: 'Ma'am,the big boss has been waiting for you in his office.' #panic #hateBeingLate 😩😪",2
@S_Moore24 wow that sounds terrific,2
"@CornflakeDaddy @youngvulgarian Yeah, it was sooo horrific, I needed to sit down",2
Mom you remember when Narley died? You cried like a baby! #bully,2
@OC_Transpo some weeks there are no problems but this week is unbelievable -- are you guys even running regular 12 buses? #awful #solate,2
The most important characteristic of leadership is the lack of #fear.  #activism #equity #revolution,2
@SAHARTHERAPPER I unfollowed without hesitation &lt;3,2
@Red9Nick @Audi_Nutz @NickBuck08 @Thompson2Neil @Insaniti_LFC @knoller2 @KemlynRoadStand @godisared don't be shy their great people👍🏻👍🏻,2
Time for some despair #SDR3  #fuckthisanime,2
#travelfail #virgin #virginaus and #etihad #nightmare ... And now we're also delayed. #obvs 🙄😠,2
shake fries,2
I really hate Mel and Sue. They think they're hilarious and they're just awful,2
"@_jamiebraidwood haha, horrific is all that needs to be said. Glad I'm away to Spain on Sat so missing game 🍹🍕🍺☉☉",2
@kevinrouth Now that's what I call a gameface! #gameface ,2
"Happy Birthday to my favorite author, @StephenKing  #writer #author",2
@RJAH_NHS @ChrisHudson76 @mbrandreth #course day # potential Leadership #excited #nervous # proud,2
@JamieSmart93 that was shocking!,2
#Trends thread;'P)..it was in my #drafts&amp;now #posted 2 mins after my #birthday..so #close:'O!:''/...but anyway it #really was the #start of,2
@UndeadLayne @Lauren_Southern all the bully,2
"@jk_rowling never thought an angry oompa loompa would be my Boggart, but there you have it. #boggart #PresidentTrump ",2
@lukeshawtime terrible,2
"$100 says Teufel is 'reassigned' within the organization before next year, but I wish it was sooner... #Mets #thirdbasecoach #terrible #lgm",2
"Don't forget 2 test yr #smoke #alarm, #carbon #monoxide #detector #batteries. It could save your #life. 🐈🐩 #Lovinleeds",2
"@wrexham I've joined holidog, paw shake and tailster and have one regular customer I just love it 🙈🙈haha @EmilyHD26 @ellshd",2
"@HillaryClinton Americans for HRC! Now maybe, as you see the world getting rid of terror to save their countries you'll get the  DEMS out.",2
I'm curious to know just how much money the original Air Bud made to justify the continuation of these awful sequels and spinoffs.,2
I am in #shock and #awe and the places my #toddler manages to get his dinner.,2
@Mista_Nightmare i dont understand why u do videos every week spend time with your family instead of working on horror #takeabreak,2
"In addition to fiction, wish me luck on my research paper this semester. 15-20 pages, oh boy. #daunting",2
@OpheliaMCFLY_GD yes!! Once I'm done with people I'm really done.... lying to me is the worse thing someone can do I'm a nightmare 😂,2
".@monsoonuk Ordered before 10pm last night, paid for next day. Didn't bother to fufill order. Now 14 working days for a refund! ",2
@Morning_Joe @JoeNBC @mikebarnicle Trump says the refugee situation 'is not just about terrorism it's about quality of life.' Take note.,2
@Marissa_Frost @NevAmore_MFC awe I love you twooo!!! come adventure with me someday!,2
I'm so confused by the new American horror story 😩,2
"@gdimelow @TheDailyShow @NivenJ1 @jordanklepper These interviews scare the crap out of me. I never imagined so many dumb, dumb Americans.",2
US you need to band together not apart #nevertrump he promotes hatred and fuels ,2
"@jamieyates That's what we strive for, Jamie! Please don't hesitate to reach out if you have any questions along the way. 🙂",2
@breadf2man @SunApology and it's Kelvin Mackenzie tomorrow... #shudder DontBuyTheSun,2
@Simon_Barrett I will watch @BlairWitchMovie when it opens in Mexico in a week. Thank you for making it and don't be discouraged.,2
courage the cowardly dog is like american horror story for kids,2
Being alone is better than being lonely. Know what is worse than being lonely? Being empty; that's right!\n #Loneliness #aloneinthecity ,2
When someone tells you they're going to 'tear you apart' and all they have to say is 'why are you so tall?' ,2
#India right of reply at #UNGA - #Pakistan preaching of human rights is by a country which is itself the global epicentre of #terrorism,2
"Collects all the times when Minerva would chew on his cape. Begins to shiver, runs a hand through his hair. \n\n'You can surely━\n@ardentflier",2
Everything you’ve ever wanted is on the other side of fear. –George Addair #ThursdayThoughts #yourpushfactor  #life #quote,2
Ugh I want to punch a wall every time I have to use @windows 10. Literally the worst product ever made #windows10 #awful #killme,2
@comcast you charge 150 extra for sending someone out and your cable service still doesn't work. That's robbery.  #cable #horrible #service,2
@MS_Hiddle_Batch no the flavour of Danish is far better but Danish pastry can be daunting to make!,2
@AmyMek this is so absurd I could laugh right now (if I also didn't feel like crying for the future of our country).  #wakeupcall,2
Background. Suffered a bit at times of #stress. Always a bit #shy. About 8 years ago (aged 30) I was made redundant. That's when it started,2
#EFT is the single most effective tool I've learned in 40 years of being a therapist-Dr. Curtis A. Steele (psychiatrist) #stress ,2
When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help #fear #heart #HeartRacing,2
@EricNobody @ArmouredSkeptic @YouTube This shit is gonna start a cold war of who can flag who first.,2
@Burnt_Out_Darth @theaterofscifi thanks. ,2
@FJHobson @Beaker126 @Biastai how would you suggest we profile to stop right wing terror,2
Obama admin rejects Texas plan to have refugees vetted for terrorism so Texas pulls of of fed refugee resettlement program. Aiding .,2
"@Taniel @LOLGOP That'll be gosh darn terrific if they only check the brown people. Shucks, let's make a law to say only brown people.",2
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months #horrible,2
@Theresa_Talbot @fleurrbie Haha...sorry about the dreadful puns... I need to get out more....I've been cooped up lately...,2
I'm so nervous 😭,2
My doctor has taken a liking to poking prodding and drawing blood from me post dad. Over concern is nice but dear gawd needles :O,2
I don't know what WiFi/ISP Rivertide Suites in Seaside #Oregon uses. But 53ms ping best I can get and a D/L test won't complete.. #terrible,2
@Gotham3 ~ Crushes are for kids! Just like trix. \rHow bout some full blown up Love that makes you quiver deep down into your core? Y E S *=*,2
"@MasterTomTheDom  I hate winter, I dread it's arrival.",2
Fingers crossed I can finish all my work early enough this Friday in time to catch @Raury at LIB 😦  #timetogrind,2
"@Doubtism I'm not on about history or  other people, I'm on about you. I've bullied no one, I make three posts and you attack ",2
Round 2 #panic #pcola,2
@ayeshashafique5 we are not concerned about Pakistan's internal affairs. But the terrorism as it's state &amp; economic policy.#terroristnation,2
"Rooney ! Oh dear, oh dear ! Fucking dreadful 🙈⚽️⚽️",2
Ready for my sweet princess to arrive. I'll he 37 weeks this Saturday! #excited ,2
#tulsa - Police manufacture murder... Wonder why we carry burners...? - MaxLevelz ,2
".@SimonNRicketts if you don't know what a patronus is, I don't think we should have to tell you ",2
Am I the only one with parking sensors who still manages to reverse into things? #nightmare,2
"@Gen_Ironicus Musicians have a superstitious dread of crossing highway 69, true story",2
I really wanna go to fright fest 😩,2
Home is where the heart lies ! Love my little island but my birth city just ain't acting right &amp; im not feeling too good about it #restless,2
@salutetroye you look adorable awe,2
"It's simple I get after two shots of espresso 'Grande, decaf, 130 degrees soy americano with extra foam' #barista ",2
Farting in a hot are car when your windows don't roll down is terrible. #gag #BresAdvice,2
I need to learn to be in one place at one time and try not to worry about everything all at once,2
Trying to book holiday flights on @britishairways website is becoming a ,2
There goes the butterflies in my stomach.  #anxietyproblems,2
@StephenKing\n\nStephen King never once spoke out about how the Left crushes #FreeSpeech in publishing world.\n\n #Trump  #scifi #ccot #p2,2
a #monster is only a #monster if you view him through ,2
On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot ,2
Whenever you are confronted by a wild animal or hostile individual remember that they can smell #fear or the fact you #poop your pants.,2
Machine keeps beeping* \nNurse: Don't worry. You're all good. Vitals are normal for your size. \n*Walks back out* \nMatt: so you're dying....😑😂,2
Greatest sign of trust is me giving you my laptop or phone without hesitation,2
@caseycdutch @m_rath that's what some rioters are doing ,2
should I #start posting #photos?,2
The irony in that last is that Republicans - more likely to watch Fox News - distrust the news media more. Yet they can't see Fox's lies!,2
Right i may be an #sufc fan and the football maybe shit but marcos rojo for #mufc has had a shocking start he's just dreadful,2
I hate that a black lady is painting herself white on the internet for laughs and likes...  #BadForm #DidntLaugh,2
@eugenelaverty @WorldSBK all the best Moto GP is loosing a very talented rider ,2
@addy_caylen I told her I wasn't fighting her Bc I'm not trashy and she keeps tryna threaten me lmfao,2
@LonelyGoomba UK cops have an issue fearing intervention. Hence situations like Rotherham. So of course it'll be dwarfed by US cops.,2
@SurfaceSupport A profoundly disappointing experience. I have 2 pay almost $500 2 remedy a defect n the product @Microsoft sold me #terrible,2
#start ur day wit a smile\n#buviobby,2
penny dreadful just cleaved off a fraction of my heart,2
Someone wake me when @Therealkiss make 2016 remix of 'Why'❗️b/w #TerrenceCrutcher #Election2016 #colinkapernick #terrorism #riots this 2much,2
To com sede de milk shake,2
"There's always that one song which makes you turn of the radio, as you'd rather sit in silence 😡 #awful",2
Been up since 4am. Too scared to go back to sleep #nightmare — feeling scared,2
If I was friends with me I'd hate me SO MUCH with the amount I bully them,2
@rkuuleiq Fear is best/beast product of God/s. :) #aTheism #theism #biBle  #christianity #hell #heaven #purgatory #psychology #jesus,2
"Shame on you @SkyNews showing an elephant being hunted and killed, ",2
Why does having anxiety drain some much of your energy #anxiety #sotired #needtosleepforhours,2
@billmaher @realDonaldTrump was right and you two have very similar stances against #radical #islamic #terror. Time to anoint the Orange one,2
Will you #dedicate today to #love or #fear ? It is your #choice in each #moment . - Archangel Michael. #archangel #michael,2
@TheBadgerBoy check out the article on @SaintSkipper5 on @dailyecho #shocking,2
@UCSMindfulness thank u so much! we just finished another #mindfulness film called #release about #anxiety - plz share!,2
@christyfrink @stephenyeargin @El_Brandino I once hooked them up backward. Not recommended. #smoke #panic,2
"@JogglingDroid @BrancoCarmine @Otto_English yeah, #UK was quite the #bully",2
Now ...what to do for the next hour while waiting for #OurGirl to start @BBCOne ?!,2
"Jorge deserves it, honestly. He's weak. #revolting #90dayfiance",2
Why is it when you nap during the day you are so comfortable but sleeping at night you'll never be as comfortable ,2
So going to local news immediately after #DesignatedSurvivor turns out to be a smooth transition. 'Chaos! A raging fire!...' #media ,2
I was literally shaking getting the EKG done lol 🙄,2
@WestHamUtd why does the ticket website never work? Trying to buy Palace tickets and it's impossible and says there's an error ,2
a vote for #killary is like sticking a knife in a toaster  #MakeAmericaGreatAgain,2
Not the best horror ever but I like that the uncertainty,2
@SadiqKhan #terrorism shouldn't be a way of life in the united etates and wasn't until #islam brought it here! #IslamExposed #islambacon,2
"@mylittlepwnies3 \n&gt; #terrorism coffee addict\n&gt; blocks cats, writers, artists and hedonists",2
If my concerns &amp; anxiety don't matter to you then I shall return the favor. #EyeMatter,2
Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. ,2
@97_aleix having a terrific game and not at all fazed #MCFC,2
"@BennyN_PR If you need any assistance with your concern so it can be resolved, feel free to email us with your info. ^AP",2
McDavid breakaway. Lundqvist with a tremendous save.,2
"@iSmashFizzle that's me all the time. I carry ginger candy, peppermint oil and sea-bands at all times #anxiety",2
@darcomafloy OMG IM CRYING HAHAHAHA ikaw talaga tagagising ko HAHA shet i set my alarm BUT I FORGOT TO TURN IT ON but im awake now so--,2
"Don't let worry get you down.  Remember that Moses started out as a basket case.  #lol \nToday, choose #faith over  #Moses",2
For the last 2 years the U.S. has been averaging about 4 terrorist attacks a month. Good debate topic. #Trump #Hillary #terror,2
I can be so shy but once I come out of my shell that's it 😂,2
@markhberman2003 @LanceZierlein @790blessing entire team from coaches on down played and coached scared from jumpstreet. ,2
Tomorrow is the day I cut and dye my hair! 😳 #nervous #excited,2
First day of fall quarter tomorrow.  😰 #nervous #excited #anxious #blargh,2
"@_Adam_Price @WalesPolitics  Am afraid you're at back of BBC queue, editorially trumped by Ron Davies and bicycle paths",2
He's intimidated by my work ethic I think he knows I want his spot 🤔😉😂😂,2
@Apolocreed4 What is even more shocking is that someone gave him a record deal! lol,2
I had a dream that I dropped my iPhone 7 and it broke T_T #cry #iPhone7 ,2
@Dolla_DeLotta They wanna bully the Inhuman.,2
Pakistan is the biggest victim of terrorism - Nawaz Sharif \nReally? It should have been biggest creator of terrorism. #UNGA,2
Don't be so shy #nl,2
"Just Laying Here, Can't Sleep 4 Some Reason #restless",2
False alarm // matoma &amp; Becky hill,2
"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news",2
"Next month we'll be running overcoming #lowmood, overcoming #worry and improving #wellbeing courses in #Louth. Self refer on 0303 123 4000",2
"@eileen_davidson on RHOBH, you just do not want to assume an affair while you were married so you criticize @LisaVanderpump! ",2
"@tariqmateen but sadly he missed some crucial and important points. Indian terrorism in pk,  kal Boshan,  etc..  Raw involvement",2
Forgot to plug the phone in overnight #nightmare,2
My view of the human being is as a dynamic expression of the Cosmos we exist within #humanism ,2
You don't know what to expect by Brendon's video lmao LA devotee video got me shook ,2
@destaneex @ProSyndicate @EGX oh don't panic he's gonna be there,2
@slashersocial #horror H3LL I SURE DID!!! LOL\nHappy about this decision. :),2
What's up Cowboys? #horrible,2
Still waiting to see if my @london2012track will make an appearance next week - two months today it was ordered #shocking #badservice,2
@_MariaPetrova should have stopped after 'smiled'. Being rude=not the same as being funny.It was just being mean #bully  #stoppickingonwomen,2
Fingers crossed I can finish all my work early enough this Friday in time to catch @Raury at LIB 😦 #nervous #timetogrind,2
Happy 69th @StephenKing! May u keep haunting us for many years.  #writing,2
"I get discouraged because I try for 5 fucking years a contact with Lady Gaga but are thousands of tweets, how she would see my tweet? :(",2
@maggyvaneijk Old age?! No hope for the rest of us. Destined to become deatheaters by 50 #nightmare,2
#EFT is the single most effective tool I've learned in 40 years of being a therapist-Dr. Curtis A. Steele (psychiatrist) #stress #anxiety,2
there are magpies gathering around me help I'm going to be swooped ! ,2
@1NatalieMaines Can you imagine being the person who has to spray tan him? #shudder,2
The Pats are awesome. Belichick is awesome ...they just are. #awestruck,2
"@keprdad  BTW, George W Bush left office in ,09. We have had terrific leadership under Barack Obama. Keep America Great.",2
@ClaretNBlues forest gate u could see he was a bully cunt big bald cunt his mates looked in shock when I hit him and didn't do shit when he,2
Was actually just watching AHS while half covering my eyes #scared #Roanoke #nightmare #AHSRoanoke,2
"@esanderc @MrsFridayNext It is very specific areas only. I care like 0% about clothes, much to my mother's dismay.",2
My study skills are terrible 😒,2
i met with an employment specialist this morning &amp; she basically told me its unlikely i'll get a job because i clearly have too much anxiety,2
"#Trump is #afraid of the big, bad #Hillary. #election #PresidentialDebate #PresidentialElection2016 #orangehitler #skip #hide #coward ",2
Unruly kids at 8am in the morning #nothanks ripping the flower beds up by the roots while their parents watch ,2
I thought the nausea and headaches had passed but lol I feel awful today,2
@ReaganBattalion That's a terrible thing to accuse Scott Baio of.,2
Multitasking .... I may have to induce these seeds of mine to sleep. #restless,2
If you think reason will prevail in this election remember that Hitler was elected by what was then a wholly 'reasonable' society. ,2
"There's always that one song which makes you turn of the radio, as you'd rather sit in silence 😡 ",2
😂 - youre one of those whod bully me omg but it was all banter and we could laugh at it later haha. Youre a nice guy x,2
I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? 🕷 will be sneaking up on me #frightened,2
❤︎I... I can't! I'm scared! Bees terrify me.,2
@iTriborg — make him feel vigorous. 'Fine. You can kill me now.' Said Hestia with a display of only despair rather than her joyful —,2
"Although this war will be under the guise of combating terrorism it will in fact be a war against poverty, ignorance and just stupidity.",2
Which #JohnCarpenter #horror #action #flick is your favorite ??,2
@officialShaky 'Operation Echoes' is gathering momentum ... #tense #nervous #feelsick #excited,2
@BurmanAJ @AMANDAZUCKERMAN I'd rather see KYLE from bbcan play again and THAT is saying something ,2
a #monster is only a #monster if you view him through #fear,2
@debscov65 local solutions fine but not 864 providers negotiating with 32 LA's/IJB 's #scare resources,2
Action is the foundational key to all success ~Pablo Picasso #inspiring #quote #action #hustle  #dosomething #success,2
@britishairways term 5 security queues at arrivals #shocking,2
Will do fine on the mat tonight with or without sleep. theres no worry for that on this side of the water,2
I delete numbers so quick with no hesitation,2
@Lillie_Billy don't worry me and my mans @JJB1Owens gave him a piece of our mind,2
#ArchangelSummit @sethgodin  Anyone can be brave but you just have to last 5 mins longer than everyone else. #leadership ,2
"@tcarrels  \nSo when exactly did you lose your mind, pal? \n#Trump #fraud #misogynist #liar #psychopath #narcissist #revolting #conartist",2
"Bilal Abood, #Iraq #immigrant who lives in Mesquite, Texas, was sentenced to 48 months in prison for lying to the Feds about #terrorism.",2
Remember the #twinkie #scare ???? #tbt,2
@lindseylouwho_ be nice if the Texans could hold onto the ball to give fuller and Hopkins a chance!!! #awful #TNF,2
"ok, ok.. I know.. my last tweet was ",2
I had really strange and awful dreams last night. I'd didn't even eat cheese before bed #nightmare #lovemysleep,2
How do you ever stop being #afraid of someone that you live with,2
Everyday gay panic is STUNNING: I drew 1 guy's att'n to it when he blocked up a toilet stall's cracks w/paper towels. TOTAL INCOMPREHENSION.,2
"As much as I want a normal little life.. It wouldn't suit me, I'd get restless, I need to just do what I want at all times to be happy 😊",2
@andreasarahco do you actually heely on campus bc this should scare you,2
So I've decided to go talk to Mr. Smithrud about that creepy fucking guy since he gave me a fucking anxiety attack this morning,2
@imjustatrankk awe yay wish i could rt /:,2
The #Texans should never play a prime time game again...this is #awful #TNF,2
This maybe a new start but it will always be align with the end.  #forward,2
When you realize there is #NoHopeForHumanity so you just #start focusing on what's #best for you.,2
"#heavyheart these last couple of days, who are the cause of this  #fear of losing someone close ? #amerikkka #kkkops #TerenceCrutcher",2
Realized I intimidate people with low Self Esteem a long time ago. I only surround myself with Winners and people who know how to get money,2
“ My courage always rises at every attempt to intimidate me.”\n-Elizabeth Bennett (Pride and Prejudice)\n#Quotes #Courage #FaceYourFears,2
Patriot rookie QB Jacoby Brissett  to start vs Houston tomorrow nite.\n\n'Been a learning process since I got here.Gotta be ready to go.',2
like srsly somebody help me deal with this social anxiety,2
"With only 7 months left until I possess my undergraduate degree, I feel like I can't handle adulthood anymore #anxiety #nojobsinbiology",2
"Big up @dj_argue, did I miss phantom dread syndrome by @GenesisElijah? dudes sick.",2
@rkuuleiq Fear is best/beast product of God/s. :) #aTheism #theism #biBle #afraid #christianity #hell #heaven #purgatory #psychology #jesus,2
@eugenelaverty @WorldSBK all the best Moto GP is loosing a very talented rider #shocking,2
"Anytime @perezed gets near a mic, someone needs to smack him w a bat. @BBTN #awful #marblesinmouth",2
Just had my interview for the medical internship and I am beyond nervous😩 I was shaking so bad it was unreal😳,2
You don't know what to expect by Brendon's video lmao LA devotee video got me shook #panic,2
oh yay old scientist builds himself a robot assistant and makes it look like a hot naked woman nothing alarming here,2
@FoxNews Yeah we're also experiencing terrorist attacks by Islam and #BlackLivesMatter at an alarming rate.,2
@SeanUnfiltered Texans are scared of this bunch! ,2
And im not even going to get into how its discriminatory to several religions which mandate its followers to let their hair dread.,2
@gowoonist i got that but you were alarming,2
Mary astounded there at the concept of having leftover milk at the end of your cereal #GBBO,2
Hey @gmail why can I only see 15 sent emails? Where's the thousands gone?  #panic,2
&amp; I'll actually shoot somebody if I have to not just draw down or expose it to somebody to scare them 😮#Charles,2
@britishairways term 5 security queues at arrivals ,2
When you make a great tasting shake and no words can describe it!😃👌🏻 #shake #herbalifenutrition #tastesogood #nowords,2
The Zika #Hoax Files: DEET is part of a binary chemical weapon targeting your brain: #Toxin #fear #neurological #USCitizens #Insect #mammal,2
When @idinamenzel says she's releasing more #IdinaParty tickets and you set an alarm to not miss it... #fingerscrossed #Idina.,2
"@Away_Label_Not True Indeed! Next time if these midnight hunger pangs worry you,then you can order delicious rolls from #TRC via @ScootsyIt",2
@williamcontrol just preordered The Pale EP... Would have paid for the phone call... But I would have freaked out and not said anything ,2
@Coyblake6 @ChloeCramphorn hahahaa you know coy!,2
Fosu Mensah is having a complete nightmare! It's the reason all Northamptons attacks come from the left.,2
It's not a panic situation let's be honest. How shit are they. We just have Rooney up front 😂😂😂😂,2
Multitasking .... I may have to induce these seeds of mine to sleep. ,2
"@DrColJ @drshow #Muslims have been in USA for ages. To think that Muslims commit #terrorism due to #Islam, you gotta be out of your mind.",2
Who's afraid of the clowns???\ncomment down there....,2
@SeanUnfiltered Texans are scared of this bunch! #intimidated,2
Val having a nervous breakdown #floss #GBBO,2
Drop every fear...,2
"Hopefully I'll get this Best Buy job, and officaly #start my #streaming #career , working towards doing something I love #1DayAtaTime",2
whats with these boxes when i search google on chrome #horrible #distracting,2
@bkero @whispersystems Which really sucks because typing on a mobile device is always horrible and I hate it.,2
@kevinrouth Now that's what I call a gameface! #gameface  #intimidate,2
Insomniacs can't get sleep cuz they are too guilty about all the horrible shit they do. I'm a complete sociopath n sleep like a baby.,2
@Melanie_Pierce @HunterHayes awe ain't he a sweetheart? He's adorable! 😊😍❤️,2
"@residentadvisor thanks for getting back to me, exemplary customer service for a loyal customer #jk #awful #residentadvisor #poorservice",2
Now this is getting out of hand. I'm freaked out by this death...and I'm God!! #mommaGrendel ,2
"@LucidHurricane_ wait, you mean he wasn't armed with a book? ",2
Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. #nervous,2
@jaimeotero_ how about saying something like 'if you're concerned about privacy use it only in incognito mode'. #alarmist,2
So I just opened This message Brooke sent me got me I am weak as the fuck 😩 she is a fucking bully for no reason 😂😂😂😂😭💀,2
